id	name	address	zip	city_hotel	cc1	ufi	class	currencycode	minrate	maxrate	preferred	nr_rooms	longitude	latitude	public_ranking	hotel_url	photo_url	desc_en	desc_fr	desc_es	desc_de	desc_nl	desc_it	desc_pt	desc_ja	desc_zh	desc_pl	city_unique	city_preferred	continent_id	
15127	Fountains Hotel	1 St. Georges Mall	8100	Cape Town	za	-1217214	4.0	ZAR	640	1400		160	18.4248661994934	-33.9196456203097	78438	http://www.booking.com/hotel/za/fountains.html	http://aff.bstatic.com/images/hotel/org/641/641044.jpg	Situated in the heart of Cape Towns business district, Fountains Hotel overlooks the famous fountains and offers quality accommodation within walking distance of the city's convention centre and V&A Waterfront.	Situé en plein cœur du quartier des affaires du Cap, le Fountains Hotel surplombe les fameuses fontaines et propose un hébergement de qualité, le tout à distance de marche du centre de conventions et de la promenade V&A Waterfront.	El Fountains Hotel está en el corazón del distrito financiero de Ciudad del Cabo, con vistas a las famosas fuentes. Ofrece habitaciones de calidad a pocos pasos del centro de convenciones y del muelle V&A.	Im Herzen des Geschäftsviertels von Kapstadt bietet Ihnen das Fountains Hotel Blick auf den berühmten Brunnen und eine komfortable Unterkunft nur einen kurzen Spaziergang entfernt vom Kongresszentrum und der V&A Waterfront.	Het Fountains Hotel, gelegen in het hart van de zakenwijk van Cape Town, kijkt uit op de beroemde fonteinen en biedt kwaliteitsaccommodatie op wandelafstand van het conventiecentrum en het V & A Waterfront.	Situato nel cuore del quartiere degli affari di Città del Capo, il Fountains Hotel si affaccia sulle famose fontane e offre sistemazioni di qualità a breve distanza a piedi dal centro convegni e dal V&A Waterfront.	Situado no coração da área de negócios da Cidade do Cabo, o Hotel Fountains tem vista para as famosas fontes e oferece alojamento de qualidade a pouca distância do centro de convenções da cidade e do V & A Waterfront.		Fountains Hotel 坐落在开普敦商业区，俯瞰著名的喷泉，为您提供高品质的住宿，也让您可步行抵达城市里的会议中心和V＆A海滨。  Fountains Hotel酒店设有一流的设施，坐拥便利的地点，是您前来经商或游览景点的最佳出发点。  每一间设备完善的客房都配有空调，还提供沏茶/咖啡设施和优质的过滤咖啡。  客人可以使用设备齐全的健身中心，那里设有室内游泳池和令人放松的桑拿浴室。Fountain Hotel 酒店业让您可欣赏台伯山的美景。 ...	Położony w samym sercu biznesowej dzielnicy Kapsztadu hotel Fountains oferuje wysokiej klasy zakwaterowanie z widokiem na słynne fontanny, w odległości spaceru od centrum kongresowego miasta oraz nabrzeża V&A.	cape-town	Cape Town	5	\

49838	A Lala Lodge	196 Edinburgh Road	0149	Centurion 	za	437330	4.0	ZAR	470	680		10	28.1743693	-25.8327456	65072	http://www.booking.com/hotel/za/a-lala-lodge.html	http://aff.bstatic.com/images/hotel/org/158/1580689.jpg	Easily accessible via motorway, this lodge offers family-friendly accommodation in Centurion, a city in South Africa’s Gauteng Province.  Perfect for guests looking to experience genuine hospitality, A Lala Lodge features 10 comfortable guest rooms.										centurion	Centurion	5	\

171242	Langenhoven B&B	124 Langenhoven Road	6625	Oudtshoorn	za	-1270304	3.0	ZAR	275	840		7	22.2162394	-33.6146858	25217	http://www.booking.com/hotel/za/langenhoven-bb.html	http://aff.bstatic.com/images/hotel/org/174/1745947.jpg	Located in Oudtshoorn, a town at the heart of South Africa's Klein Karoo region, this bed and breakfast provides travellers with a comfortable base.										oudtshoorn	Oudtshoorn	5	\

15375	Quayside Apartments	34 Prestwich Street	8001	Cape Town	za	-1217214	0.0	ZAR	660	3800		17	18.4204512834549	-33.9169301579442	94301	http://www.booking.com/hotel/za/quayside-apts.html	http://aff.bstatic.com/images/hotel/org/965/965353.jpg	Ideally situated near the famous V&A Waterfront, close to the city centre, this luxurious apartment is a truly wonderful location for guests seeking up-market accommodation.	Idéalement situés près du célèbre V&A Waterfront, proches du centre-ville, ces appartements de luxe sont la destination de choix pour qui recherche un hébergement haut de gamme.	Este lujoso complejo de apartamentos, situado cerca del paseo marítimo V&A y del centro de la ciudad, es ideal para aquellos que buscan alojamiento en la ciudad.		Dit luxueuze appartement ligt ideaal nabij het beroemde Victoria & Alfred Waterfront, vlakbij het stadscentrum. Het is een prachtlocatie voor wie op zoek is naar de betere accommodatie.	Questo hotel si trova vicino al famoso molo di Voctoria & Alfred, vicino al centro della città, e offre appartamenti lussuosi dalla posizione unica per coloro che ricercano un alloggio esclusivo.	Idealmente situado perto do famoso V&A Waterfront, próximo do centro da cidade, estes apartamentos luxuosos são verdadeiramente uma maravilhosa localização para hóspedes que procuram alojamento sofisticado.		Quayside Apartments酒店地理位置理想，靠近著名的V&A海滨以及市中心，这家豪华的公寓项由享有美妙的地点，为客人提供高档的住宿环境。  酒店拥有17间现代化的公寓，结合时尚的装饰以及城市的壮丽美景。 您可以使用酒店建筑的许多设施，包括一间餐厅和多家商店。 健身区域包括一家健身室以及一个室内游泳池。  所有的公寓均宽敞并且配备极具品味的家具。 许多主要景点离酒店近在咫尺，适合商务及休闲旅客住宿。 流畅的线条和独特的优雅氛围使酒店成为您在开普敦逗留的理想下榻之地。		cape-town	Cape Town	5	\

15413	Miles B&B Guest House	104 Chuch Street	6620	Oudtshoorn	za	-1270304	3.0	ZAR	250	1000		4	22.1954566240311	-33.5873237469922	49016	http://www.booking.com/hotel/za/miles-bb-guest-house.html	http://aff.bstatic.com/images/hotel/org/207/2070134.jpg	Boasting panoramic views of the Swartberg Mountains, this delightful guest house is located in Oudtshoorn and welcomes guests looking to experience genuine South African hospitality.	Avec une vue panoramique sur les monts Swartberg, cette charmante guest house est située à Oudtshoorn et vous fera découvrir la véritable hospitalité sud-africaine.			Met panoramisch uitzicht op de Swartbergen is dit een heerlijk pension, gesitueerd in Oudtshoorn, en verwelkomt de gasten die opzoek zijn naar de authentieke Zuid-Afrikaanse gastvrijheid.	Questa splendida struttura vanta viste panoramiche sulle montagne Swartberg e si trova a Oudtshoorn. Vi accoglie offrendovi la tradizionale ospitalità sud africana.					oudtshoorn	Oudtshoorn	5	\

